agent_family,origin,session_id,first_timestamp,last_timestamp,total_messages,user_messages,assistant_messages,avg_chars,project_name,thread_title,duration_minutes
claude,data_snapshot:prox-200-maki-20260319,05324b42-7420-46dd-bf3c-08b3c1beb875,2026-02-10 00:18:05.677000+09:00,2026-02-10 00:26:58.259000+09:00,31,10,21,295.80645161290323,article-writers,,8.876366666666666
claude,data_snapshot:prox-200-maki-20260319,061f1a94-6be6-4425-9d90-57cde21b2e47,2026-02-07 02:54:22.323000+09:00,2026-02-07 02:55:16.462000+09:00,28,2,26,77.32142857142857,objective-function,,0.9023166666666668
claude,data_snapshot:prox-200-maki-20260319,07484352-15fc-416c-871d-0f5c48079f91,2026-02-22 04:37:20.096000+09:00,2026-02-22 04:39:43.061000+09:00,9,4,5,215.55555555555554,ai-agent-desktop-ubuntu,,2.38275
claude,data_snapshot:prox-200-maki-20260319,084e0d2a-5e30-4265-ae4c-f21e13807c97,2026-02-12 21:28:47.916000+09:00,2026-02-12 21:29:28.907000+09:00,6,2,4,515.0,MysticLibrary,,0.6831833333333334
claude,data_snapshot:prox-200-maki-20260319,088d8d48-baf4-4b79-bc26-2572986c804f,2026-02-12 01:48:58.487000+09:00,2026-02-12 01:49:09.404000+09:00,2,2,0,17.0,maki,,0.18195
claude,data_snapshot:prox-200-maki-20260319,08c022e4-0058-48fd-8b86-9dff6e1081bf,2026-02-06 18:48:44.838000+09:00,2026-02-06 19:15:39.874000+09:00,60,9,51,160.23333333333332,cc-Agent-teams-sandbox,,26.917266666666666
claude,data_snapshot:prox-200-maki-20260319,08fc85aa-91ea-4f7b-a635-5df283f014f7,2026-02-12 23:14:57.445000+09:00,2026-02-12 23:18:05.635000+09:00,18,2,16,135.27777777777777,MysticLibrary,,3.1365
claude,data_snapshot:prox-200-maki-20260319,0a70dc36-09cd-4f90-ad4f-95ff506ac39a,2026-01-29 12:24:24.172000+09:00,2026-01-29 12:26:02.452000+09:00,39,5,34,258.0769230769231,Cinderella,,1.6380000000000001
claude,data_snapshot:prox-200-maki-20260319,0b0471cc-f1ae-428d-aebe-47283d1b80e1,2026-02-07 19:33:29.078000+09:00,2026-02-07 19:34:08.804000+09:00,23,4,19,423.0,sample02,,0.6621
claude,data_snapshot:prox-200-maki-20260319,0d89c355-16d8-4ba6-973a-fbc90faa1103,2026-02-16 17:32:59.565000+09:00,2026-02-16 17:44:26.688000+09:00,85,4,81,23.8,zero-cc,,11.452050000000002
claude,data_snapshot:prox-200-maki-20260319,0e3e8a8d-3157-46e7-b467-359696d49901,2026-02-06 16:19:46.984000+09:00,2026-02-06 16:20:10.234000+09:00,3,1,2,67.66666666666667,maki,,0.3875
claude,data_snapshot:prox-200-maki-20260319,0e62a69b-d747-434b-8c4b-0e6339773080,2026-02-06 16:11:26.687000+09:00,2026-02-06 16:12:27.879000+09:00,6,3,3,207.83333333333334,cc-Agent-teams-sandbox,,1.0198666666666667
claude,data_snapshot:prox-200-maki-20260319,0e80d4f2-e777-4d97-b5f1-6aee03509d10,2026-02-06 21:28:52.751000+09:00,2026-02-06 22:48:01.037000+09:00,391,11,380,50.18925831202046,claude-glm-actions-lab-sandbox,,79.1381
claude,data_snapshot:prox-200-maki-20260319,0eab21b4-4679-4749-8841-6464319b6407,2026-02-06 05:24:40.263000+09:00,2026-02-06 05:27:21.578000+09:00,59,1,58,46.6271186440678,SourceSage,,2.6885833333333333
claude,data_snapshot:prox-200-maki-20260319,0eb5a651-8e68-4456-a8a3-b944ee3e2e02,2026-02-06 21:50:20.107000+09:00,2026-02-06 21:56:50.353000+09:00,133,3,130,83.36842105263158,cc-Agent-teams-sandbox,,6.504099999999999
claude,data_snapshot:prox-200-maki-20260319,0f9aa532-0c54-4b00-bff4-99a5777d6c1a,2026-02-03 06:26:15.405000+09:00,2026-02-03 06:28:22.150000+09:00,61,5,56,14.950819672131148,cbot,,2.112416666666667
claude,data_snapshot:prox-200-maki-20260319,0fc383b1-b29d-4562-9577-86b00fc08d5c,2026-02-04 02:46:53.693000+09:00,2026-02-04 03:57:37.890000+09:00,39,6,33,7696.717948717948,config,,70.73661666666666
claude,data_snapshot:prox-200-maki-20260319,105c13b7-8253-4b13-ac8f-6e25131fbdc6,2026-01-30 04:51:44.018000+09:00,2026-01-30 05:29:06.915000+09:00,60,5,55,185.78333333333333,Cinderella,,37.381616666666666
claude,data_snapshot:prox-200-maki-20260319,10cd5869-f255-48f1-b49d-4f91d5285b0b,2026-02-09 22:27:12.938000+09:00,2026-02-09 22:40:39.605000+09:00,74,22,52,277.81081081081084,last-train,,13.44445
claude,data_snapshot:prox-200-maki-20260319,11267671-dc93-4ea6-9d7b-b4cc55807597,2026-02-09 23:31:57.980000+09:00,2026-02-09 23:38:57.441000+09:00,27,13,14,287.77777777777777,sat-cafe,,6.991016666666667
claude,data_snapshot:prox-200-maki-20260319,12104cc4-e8b4-49e4-8029-2460eeac7a79,2026-02-04 22:02:19.023000+09:00,2026-02-05 00:28:16.261000+09:00,197,13,184,136.32994923857868,RECAPTOR,,145.95396666666664
claude,data_snapshot:prox-200-maki-20260319,1228f05d-ee82-448a-a547-4b015dad03d1,2026-02-05 22:24:43.305000+09:00,2026-02-05 22:27:06.625000+09:00,31,2,29,97.7741935483871,objective-function,,2.3886666666666665
claude,data_snapshot:prox-200-maki-20260319,135575f0-d138-43b4-be8a-ce9b21ee40cc,2026-01-22 19:49:17.118000+09:00,2026-02-06 01:55:36.382000+09:00,216,11,205,28.88888888888889,claude-glm-actions-lab-sandbox,,20526.321066666667
claude,data_snapshot:prox-200-maki-20260319,1450c5d8-92d1-42e1-a79c-db0ad723de0b,2026-02-04 21:47:11.183000+09:00,2026-02-04 22:09:49.167000+09:00,57,5,52,65.7719298245614,RECAPTOR,,22.633066666666664
claude,data_snapshot:prox-200-maki-20260319,1534b99b-202e-4058-89d1-cacfebfaf4c3,2026-01-29 11:55:30.867000+09:00,2026-01-29 12:09:19.718000+09:00,87,8,79,87.80459770114942,Cinderella,,13.814183333333334
claude,data_snapshot:prox-200-maki-20260319,15e735e3-c725-44c7-8722-d1eaaeb51127,2026-02-09 00:19:53.554000+09:00,2026-02-09 00:32:23.387000+09:00,113,8,105,144.83185840707964,ctf-team,,12.497216666666667
claude,data_snapshot:prox-200-maki-20260319,167b2f47-ff87-4d06-a1da-4db2378a1821,2026-02-03 20:07:21.217000+09:00,2026-02-03 20:08:00.372000+09:00,17,6,11,310.8235294117647,cbot,,0.6525833333333334
claude,data_snapshot:prox-200-maki-20260319,16dfe589-135a-4229-b491-c64409787526,2026-02-06 05:37:32.691000+09:00,2026-02-06 05:37:51.568000+09:00,7,1,6,81.42857142857143,claude-glm-actions-lab-sandbox,,0.31461666666666666
claude,data_snapshot:prox-200-maki-20260319,183b2bc3-1932-4cf6-a036-7811ca84fc36,2026-02-06 05:38:41.076000+09:00,2026-02-06 05:39:42.863000+09:00,23,1,22,117.21739130434783,claude-glm-actions-lab-sandbox,,1.0297833333333333
claude,data_snapshot:prox-200-maki-20260319,18ecd490-232a-4c60-9a4a-c1c5843d3ae4,2026-02-08 19:55:56.582000+09:00,2026-02-08 22:21:34.195000+09:00,110,13,97,123.61818181818182,submarine,,145.62688333333332
claude,data_snapshot:prox-200-maki-20260319,18f96a6c-c732-4e46-9c7d-faed1871077c,2026-02-01 07:01:50.764000+09:00,2026-02-01 07:09:43.480000+09:00,106,10,96,18.849056603773583,cbot,,7.8786000000000005
claude,data_snapshot:prox-200-maki-20260319,198965f9-6e6e-4175-b07a-51e46e0da2cd,2026-02-06 05:37:32.846000+09:00,2026-02-06 05:37:37.463000+09:00,4,1,3,42.5,claude-glm-actions-lab-sandbox,,0.07695
claude,data_snapshot:prox-200-maki-20260319,1a0c93ad-c647-42e9-83d2-533e2e6709ee,2026-02-08 18:51:05.518000+09:00,2026-02-08 19:30:31.498000+09:00,266,11,255,155.24436090225564,sample11,,39.433
claude,data_snapshot:prox-200-maki-20260319,1a9dfc6e-4185-48e7-b483-64c40cda27e3,2026-02-08 19:55:08.402000+09:00,2026-02-08 22:50:21.817000+09:00,273,37,236,219.53846153846155,submarine,,175.22358333333335
claude,data_snapshot:prox-200-maki-20260319,1b066dd3-1eb5-46f0-8687-635bf2319563,2026-02-12 21:44:31.886000+09:00,2026-02-12 23:03:29.030000+09:00,417,22,395,64.78896882494004,MysticLibrary,,78.9524
claude,data_snapshot:prox-200-maki-20260319,1b27535d-e479-4490-8565-d14ddfca747b,2026-02-06 21:29:30.697000+09:00,2026-02-06 21:41:08.854000+09:00,29,5,24,131.3448275862069,claude-glm-actions-lab-sandbox,,11.635950000000001
claude,data_snapshot:prox-200-maki-20260319,1b9a3354-14ef-4e5b-ad27-5d4b904754b7,2026-02-05 01:08:39.786000+09:00,2026-02-05 01:14:02.948000+09:00,62,5,57,134.66129032258064,zero-cc,,5.386033333333333
claude,data_snapshot:prox-200-maki-20260319,1bb8a050-49a4-4cc6-9a8a-8a4653feb0fa,2026-02-08 14:00:16.618000+09:00,2026-02-08 14:02:07.453000+09:00,21,2,19,125.23809523809524,sample09,,1.8472499999999998
claude,data_snapshot:prox-200-maki-20260319,1d5423e3-733a-44b7-91f7-8c5e71e3fa80,2026-02-11 23:31:14.577000+09:00,2026-02-11 23:31:28.684000+09:00,3,1,2,36.333333333333336,maki,,0.23511666666666667
claude,data_snapshot:prox-200-maki-20260319,1e0a63ec-6fd6-40fc-8a5d-44a502a51151,2026-02-06 06:31:33.579000+09:00,2026-02-06 06:31:33.582000+09:00,3,3,0,132.66666666666666,claude-glm-actions-lab-sandbox,,5e-05
claude,data_snapshot:prox-200-maki-20260319,1e180c98-f2b3-4582-be47-9517416f3cb4,2026-02-08 18:56:15.713000+09:00,2026-02-08 19:08:39.999000+09:00,170,2,168,64.81764705882352,sample11,,12.404766666666665
claude,data_snapshot:prox-200-maki-20260319,1eee3348-2bdb-4d15-921f-4c350385fb5c,2026-02-06 21:04:21.897000+09:00,2026-02-06 21:10:44.653000+09:00,92,1,91,117.8804347826087,claude-glm-actions-lab-sandbox,,6.379266666666666
claude,data_snapshot:prox-200-maki-20260319,1fa7c895-aea4-4ff1-8ea5-2c2b41fa0c4f,2026-02-07 19:37:02.505000+09:00,2026-02-07 19:50:25.632000+09:00,30,3,27,122.2,sample02,,13.385449999999999
claude,data_snapshot:prox-200-maki-20260319,1fe2a6d7-76b6-4101-8167-cdf9a8f9f13d,2026-02-17 02:09:10.727000+09:00,2026-02-17 03:02:04.989000+09:00,405,16,389,77.00246913580247,game,,52.90436666666667
claude,data_snapshot:prox-200-maki-20260319,21889f37-7bed-480d-9d66-25df57286825,2026-02-05 23:41:30.141000+09:00,2026-02-05 23:55:24.528000+09:00,46,3,43,334.89130434782606,objective-function,,13.90645
claude,data_snapshot:prox-200-maki-20260319,227b709a-d3af-4013-b665-55a5b8b651a1,2026-02-21 21:09:55.876000+09:00,2026-02-21 21:16:32.121000+09:00,8,6,2,711.5,ai-agent-desktop-ubuntu,,6.6040833333333335
claude,data_snapshot:prox-200-maki-20260319,2465669d-59e7-4ffd-bc4e-b44f79348fcd,2026-02-12 21:53:37.509000+09:00,2026-02-12 21:54:32.609000+09:00,29,5,24,187.6551724137931,SourceSage,,0.9183333333333333
claude,data_snapshot:prox-200-maki-20260319,24ba2e73-d17c-429e-91b6-e2caadc78f8e,2026-02-10 22:35:04.293000+09:00,2026-02-10 22:36:19.603000+09:00,16,2,14,138.75,nannj,,1.2551666666666668
claude,data_snapshot:prox-200-maki-20260319,24c935ac-97ae-4ee3-9d5a-6a9c1f71e248,2026-02-06 05:24:39.367000+09:00,2026-02-06 05:26:12.879000+09:00,28,1,27,74.64285714285714,SourceSage,,1.5585333333333333
claude,data_snapshot:prox-200-maki-20260319,24e7f97f-0deb-4583-9917-1419574d942b,2026-02-08 18:56:02.043000+09:00,2026-02-08 18:58:54.889000+09:00,19,2,17,152.57894736842104,sample11,,2.8807666666666667
claude,data_snapshot:prox-200-maki-20260319,253b5ce2-a64f-4ff5-9a7e-643bea69372c,2026-02-06 16:25:08.416000+09:00,2026-02-06 16:49:47.184000+09:00,94,26,68,417.0425531914894,cc-Agent-teams-sandbox,,24.646133333333335
claude,data_snapshot:prox-200-maki-20260319,260e4840-613e-4b40-8888-6023ad817ef0,2026-02-06 18:48:24.077000+09:00,2026-02-06 19:15:38.951000+09:00,74,9,65,130.67567567567568,cc-Agent-teams-sandbox,,27.2479
claude,data_snapshot:prox-200-maki-20260319,268abf35-bd82-45f3-8054-f5e886109dab,2026-02-06 23:02:34.077000+09:00,2026-02-06 23:33:31.726000+09:00,183,41,142,406.8032786885246,mao-army-dashboard,,30.960816666666666
claude,data_snapshot:prox-200-maki-20260319,26d24929-d49e-4a3e-9a85-7cdc2425a5b9,2026-02-10 01:07:36.943000+09:00,2026-02-10 01:18:18.945000+09:00,26,7,19,203.73076923076923,nannj,,10.700033333333332
claude,data_snapshot:prox-200-maki-20260319,287262a0-df7b-4921-83fc-b8da117046d2,2026-02-08 22:37:45.370000+09:00,2026-02-08 22:42:39.999000+09:00,43,1,42,42.627906976744185,submarine,,4.9104833333333335
claude,data_snapshot:prox-200-maki-20260319,28978e3e-b409-4251-8bb6-cec46110bffc,2026-02-09 00:19:38.867000+09:00,2026-02-09 00:32:39.142000+09:00,168,11,157,473.5833333333333,ctf-team,,13.004583333333333
claude,data_snapshot:prox-200-maki-20260319,29720b53-e46c-4fc1-a391-320c6edeec5e,2026-01-29 12:28:28.770000+09:00,2026-01-29 20:31:19.848000+09:00,475,24,451,241.81473684210528,Cinderella,,482.85130000000004
claude,data_snapshot:prox-200-maki-20260319,29c6de38-5a27-4b4b-8f2d-ad3625db0500,2026-02-06 01:27:18.631000+09:00,2026-02-06 01:27:49.017000+09:00,20,1,19,118.4,SourceSage,,0.5064333333333333
claude,data_snapshot:prox-200-maki-20260319,2a08c634-854e-442c-b183-6bd9d4d7382b,2026-02-04 02:27:53.227000+09:00,2026-02-04 04:22:08.561000+09:00,45,8,37,58.37777777777778,MultimediaOS-MUGEN,,114.25556666666667
claude,data_snapshot:prox-200-maki-20260319,2a4234d1-c26b-41ad-b1e6-a3c098578892,2026-02-07 21:41:48.069000+09:00,2026-02-07 22:01:54.652000+09:00,229,12,217,203.6768558951965,remotion-example,,20.109716666666667
claude,data_snapshot:prox-200-maki-20260319,2aeeb75e-df97-43dd-a68f-ef4cbce731d9,2026-02-06 05:24:39.818000+09:00,2026-02-06 05:26:19.422000+09:00,34,1,33,64.55882352941177,SourceSage,,1.6600666666666666
claude,data_snapshot:prox-200-maki-20260319,2bf09cdc-8c98-4c13-b2e3-ffd4975c4e31,2026-02-06 16:25:07.067000+09:00,2026-02-06 16:50:22.639000+09:00,144,28,116,289.8263888888889,cc-Agent-teams-sandbox,,25.25953333333333
claude,data_snapshot:prox-200-maki-20260319,2c2de3e5-543a-4130-b27e-b7d47a552400,2026-02-03 10:11:20.427000+09:00,2026-02-03 10:14:35.257000+09:00,101,5,96,119.15841584158416,cbot,,3.2471666666666668
claude,data_snapshot:prox-200-maki-20260319,2cb7fce9-7d6d-4a39-ac1c-976b2b21b13d,2026-02-03 07:39:37.979000+09:00,2026-02-03 08:08:11.158000+09:00,168,13,155,124.98214285714286,cbot,,28.552983333333334
claude,data_snapshot:prox-200-maki-20260319,2d0419d8-0db9-4f58-a514-51e0a7450641,2026-02-08 05:19:10.337000+09:00,2026-02-08 05:28:04.724000+09:00,39,3,36,139.43589743589743,sample09,,8.90645
claude,data_snapshot:prox-200-maki-20260319,2dc3bcbc-0125-481c-a561-91ae5ed60fd1,2026-02-06 20:51:17.959000+09:00,2026-02-06 22:37:26.950000+09:00,553,39,514,172.81735985533453,cc-Agent-teams-sandbox,,106.14985
claude,data_snapshot:prox-200-maki-20260319,2e807067-109b-4b5a-a676-b6f26a1a3460,2026-01-29 10:42:00.121000+09:00,2026-01-29 11:33:48.716000+09:00,142,13,129,89.30281690140845,Cinderella,,51.809916666666666
claude,data_snapshot:prox-200-maki-20260319,2f452c32-065a-4ac1-b416-8d85034b31dd,2026-02-09 22:43:45.534000+09:00,2026-02-09 22:43:45.534000+09:00,3,3,0,144.0,momu,,0.0
claude,data_snapshot:prox-200-maki-20260319,305328b8-e560-4753-a1f9-8394b5e88f3a,2026-02-12 00:31:20.012000+09:00,2026-02-12 01:48:50.252000+09:00,4,3,1,50.0,maki,,77.50399999999999
claude,data_snapshot:prox-200-maki-20260319,3057a48b-54d8-4fd6-9ed8-be23245ddc92,2026-02-09 22:27:03.579000+09:00,2026-02-09 22:40:25.940000+09:00,145,9,136,98.93103448275862,last-train,,13.372683333333333
claude,data_snapshot:prox-200-maki-20260319,316dac4b-cc23-454a-8b50-11b7412a4f7c,2026-02-07 18:58:23.571000+09:00,2026-02-07 19:18:15.823000+09:00,44,9,35,47.70454545454545,sample01,,19.870866666666664
claude,data_snapshot:prox-200-maki-20260319,331fc60a-b628-4f1a-9d6b-4205087f61e1,2026-02-11 22:21:16.760000+09:00,2026-02-11 22:21:18.279000+09:00,2,1,1,73.5,maki,,0.025316666666666664
claude,data_snapshot:prox-200-maki-20260319,33507460-a263-4196-9f24-7129415c9b22,2026-02-07 02:51:07.980000+09:00,2026-02-07 03:23:41.473000+09:00,329,18,311,81.92401215805471,Tidefront-Fleetline,,32.55821666666667
claude,data_snapshot:prox-200-maki-20260319,33ede7ae-c563-4405-8ef3-062223a5bc4b,2026-02-06 18:46:53.620000+09:00,2026-02-06 19:19:08.628000+09:00,224,26,198,126.54464285714286,cc-Agent-teams-sandbox,,32.25013333333333
claude,data_snapshot:prox-200-maki-20260319,346c0d7c-2f16-4678-9e9b-5960f8a5535f,2026-02-17 17:31:09.449000+09:00,2026-02-17 17:47:07.674000+09:00,31,3,28,55.193548387096776,OpenClaw-Alternatives,,15.970416666666667
claude,data_snapshot:prox-200-maki-20260319,3496455f-bd0e-400b-ae8e-d0c645d56aa9,2026-02-01 07:30:53.814000+09:00,2026-02-01 07:35:49.659000+09:00,30,2,28,9.966666666666667,cbot,,4.930750000000001
claude,data_snapshot:prox-200-maki-20260319,34f72ce8-0557-4f63-a9a6-cb1d9eb44fa7,2026-02-06 01:27:17.707000+09:00,2026-02-06 01:28:06.790000+09:00,21,1,20,141.14285714285714,SourceSage,,0.8180499999999999
claude,data_snapshot:prox-200-maki-20260319,35405c23-89b8-4b73-b088-5573a53f5cbc,2026-02-06 16:24:39.877000+09:00,2026-02-06 16:50:53.144000+09:00,123,53,70,352.2520325203252,cc-Agent-teams-sandbox,,26.221116666666667
claude,data_snapshot:prox-200-maki-20260319,35b90888-c524-47e8-bfbd-0b3c3d82dbc7,2026-02-06 18:48:40.934000+09:00,2026-02-06 19:17:50.640000+09:00,62,5,57,112.40322580645162,cc-Agent-teams-sandbox,,29.161766666666665
claude,data_snapshot:prox-200-maki-20260319,35c16b2e-a523-4b93-a388-401be6bc70a2,2026-02-06 16:10:31.743000+09:00,2026-02-06 16:12:52.437000+09:00,26,5,21,124.96153846153847,cc-Agent-teams-sandbox,,2.3449
claude,data_snapshot:prox-200-maki-20260319,35fd54d7-6c12-485b-867d-33fb96ac37d3,2026-02-06 22:51:41.984000+09:00,2026-02-06 22:51:41.987000+09:00,3,3,0,132.66666666666666,claude-glm-actions-lab-sandbox,,5e-05
claude,data_snapshot:prox-200-maki-20260319,367035f6-a490-4310-91ae-c46251fd66b7,2026-02-06 16:11:47.563000+09:00,2026-02-06 16:12:45.744000+09:00,9,6,3,197.44444444444446,cc-Agent-teams-sandbox,,0.9696833333333333
claude,data_snapshot:prox-200-maki-20260319,371a0b1d-8d62-4515-a1ea-2d7b445c7092,2026-02-06 01:56:51.046000+09:00,2026-02-06 05:06:42.181000+09:00,322,21,301,143.93478260869566,claude-glm-actions-lab-sandbox,,189.85225
claude,data_snapshot:prox-200-maki-20260319,3793dd69-53c3-47d7-9eff-791ad6e40ee0,2026-02-10 22:44:34.505000+09:00,2026-02-10 22:50:51.464000+09:00,10,4,6,529.2,nannj,,6.28265
claude,data_snapshot:prox-200-maki-20260319,37c811dc-ad25-48ae-ad77-58fd3e02593c,2026-02-22 00:33:15.894000+09:00,2026-02-22 00:36:42.627000+09:00,17,4,13,45.411764705882355,ai-agent-desktop-ubuntu,,3.44555
claude,data_snapshot:prox-200-maki-20260319,3887a693-74d7-4ba7-9d99-e236cecc8fc2,2026-02-10 22:34:38.466000+09:00,2026-02-10 22:37:44.170000+09:00,57,4,53,128.26315789473685,nannj,,3.095066666666667
claude,data_snapshot:prox-200-maki-20260319,38cdb299-80cd-47ac-aa54-9dca4e872ab3,2026-02-08 14:02:14.064000+09:00,2026-02-08 14:13:50.784000+09:00,193,6,187,223.3419689119171,sample10,,11.612
claude,data_snapshot:prox-200-maki-20260319,3a85a194-dcd1-45a0-8c32-37803d4bc2d9,2026-02-10 22:43:23.739000+09:00,2026-02-10 22:57:25.274000+09:00,136,5,131,242.01470588235293,nannj,,14.025583333333334
claude,data_snapshot:prox-200-maki-20260319,3a89a747-7037-4ed9-8660-4cb0e16277e2,2026-02-10 22:35:22.972000+09:00,2026-02-10 22:35:36.987000+09:00,6,2,4,176.5,nannj,,0.23358333333333334
claude,data_snapshot:prox-200-maki-20260319,3c9a6f57-18b3-4101-8a96-23c18401b655,2026-02-06 18:48:48.115000+09:00,2026-02-06 19:15:48.571000+09:00,61,10,51,121.8360655737705,cc-Agent-teams-sandbox,,27.0076
claude,data_snapshot:prox-200-maki-20260319,3cbe26f4-9d70-4b5e-8314-2edf5a14abb0,2026-02-05 00:58:26.822000+09:00,2026-02-05 01:06:37.632000+09:00,99,4,95,104.38383838383838,zero-cc,,8.180166666666667
claude,data_snapshot:prox-200-maki-20260319,3d05e231-45d5-44e2-baa4-94af3b466b4d,2026-02-16 18:02:20.629000+09:00,2026-02-16 18:06:30.050000+09:00,51,1,50,26.745098039215687,fal-ai,,4.157016666666666
claude,data_snapshot:prox-200-maki-20260319,3e4d34d3-220c-44ea-8cf5-25b9098d7111,2026-01-30 08:35:38.525000+09:00,2026-01-30 08:56:01.957000+09:00,179,12,167,38.29050279329609,Cinderella,,20.390533333333334
claude,data_snapshot:prox-200-maki-20260319,400e71f2-c3db-49c3-988f-60d4fc425023,2026-02-12 23:14:46.496000+09:00,2026-02-12 23:18:38.011000+09:00,82,5,77,56.76829268292683,MysticLibrary,,3.8585833333333333
claude,data_snapshot:prox-200-maki-20260319,414448c3-a71a-4768-9a99-034f61dc0540,2026-02-12 21:45:13.509000+09:00,2026-02-12 21:50:59.303000+09:00,83,3,80,130.48192771084337,SourceSage,,5.763233333333333
claude,data_snapshot:prox-200-maki-20260319,41c8a1c6-77c3-46ec-bb09-c61103d3fc79,2026-02-08 05:18:59.868000+09:00,2026-02-08 05:27:49.767000+09:00,22,3,19,574.1818181818181,sample09,,8.83165
claude,data_snapshot:prox-200-maki-20260319,435dfe02-dd44-4662-a407-6d692f5d3f14,2026-02-03 05:36:52.809000+09:00,2026-02-03 05:36:52.811000+09:00,3,3,0,132.66666666666666,cbot,,3.3333333333333335e-05
claude,data_snapshot:prox-200-maki-20260319,43a19457-0657-4a3a-81a3-0dbd7be8578c,2026-02-06 21:27:51.898000+09:00,2026-02-06 21:29:35.347000+09:00,13,2,11,128.3846153846154,mao-army-dashboard,,1.72415
claude,data_snapshot:prox-200-maki-20260319,43a95817-b572-40ab-a18d-ba8c914dc82d,2026-02-10 22:35:21.029000+09:00,2026-02-10 22:36:09.611000+09:00,5,2,3,174.4,nannj,,0.8097
claude,data_snapshot:prox-200-maki-20260319,43cc4e75-baf8-4302-bd15-4452ca3c9401,2026-02-08 02:16:17.422000+09:00,2026-02-08 03:04:08.767000+09:00,456,3,453,52.396929824561404,sample07,,47.85574999999999
claude,data_snapshot:prox-200-maki-20260319,44592142-1ca0-4819-bccd-df6199ebf08b,2026-02-07 23:18:11.479000+09:00,2026-02-07 23:46:04.230000+09:00,177,5,172,76.15819209039547,sample05,,27.879183333333334
claude,data_snapshot:prox-200-maki-20260319,451da3a0-91ec-4a7c-a7e3-933978924807,2026-02-17 17:30:45.120000+09:00,2026-02-17 17:46:55.922000+09:00,42,3,39,50.166666666666664,OpenClaw-Alternatives,,16.180033333333334
claude,data_snapshot:prox-200-maki-20260319,45641e3c-6722-4332-8dba-2d4afbc5c9ae,2026-02-12 13:09:00.785000+09:00,2026-02-12 13:09:13.449000+09:00,2,2,0,17.0,maki,,0.21106666666666665
claude,data_snapshot:prox-200-maki-20260319,456eee38-0f9c-4d24-b461-5d60c1404cc0,2026-02-10 00:15:42.311000+09:00,2026-02-10 00:15:53.185000+09:00,8,2,6,26.875,momu,,0.18123333333333333
claude,data_snapshot:prox-200-maki-20260319,46417e4c-d5c8-4d88-a24a-ee5c762bb599,2026-02-21 22:10:10.707000+09:00,2026-02-22 01:12:05.927000+09:00,366,36,330,140.30054644808743,ai-agent-desktop-ubuntu,,181.92033333333333
claude,data_snapshot:prox-200-maki-20260319,47cf754f-d0eb-487b-90bd-78dc69826b85,2026-02-11 23:30:55.260000+09:00,2026-02-11 23:30:57.051000+09:00,2,1,1,73.5,maki,,0.029849999999999998
